wavelength,again insulin,again insulin+pdmia after kin,buffer,buffer+pdmia,buffer+pdmia after kin,buffer+pdmia+amine,insulin,insulin+pdmia,insulin+pdmia after kin,morning after insulin+pdmia,pdmia in buffer before long kin,pdmia in buffer after kin - RawData,pdmia in buffer added amine - RawData
200,3.314,3.928,0.297,3.974,3.95,3.988,3.302,4,3.958,3.997,3.997,4,4
200.2,3.328,3.928,0.29,3.925,3.95,3.988,3.319,3.985,3.956,3.997,3.97,4,4
200.4,3.325,3.928,0.279,3.933,3.992,3.988,3.327,3.91,3.982,4,3.97,4,3.997
200.6,3.288,3.975,0.268,3.873,3.971,3.999,3.234,3.899,3.994,4,3.944,3.98,3.997
200.8,3.236,3.975,0.256,3.921,3.92,3.999,3.211,3.909,3.93,4,3.952,3.964,3.997
201,3.174,3.951,0.245,3.879,3.926,3.999,3.171,3.926,3.909,4,3.916,3.964,4
201.2,3.162,3.967,0.235,3.929,3.931,4,3.152,3.927,3.863,4,3.931,4,4
201.4,3.128,3.977,0.225,3.906,3.957,4,3.103,3.927,3.896,3.968,3.919,4,4
201.6,3.095,3.983,0.215,3.977,3.974,3.981,3.072,3.996,3.905,3.955,3.903,3.966,4
201.8,3.044,3.989,0.206,3.998,3.95,3.981,3.035,4,3.976,3.952,3.888,3.966,4
202,3.014,3.989,0.197,3.948,3.943,3.981,3.001,4,3.988,3.997,3.875,3.954,4
202.2,2.965,3.997,0.189,3.891,3.926,4,2.965,3.976,3.976,3.986,3.855,3.947,4
202.4,2.927,3.984,0.18,3.846,3.948,4,2.919,3.976,3.976,3.989,3.839,3.947,3.988
202.6,2.87,3.958,0.172,3.92,3.959,3.995,2.863,3.939,3.976,3.989,3.875,3.95,3.988
202.8,2.821,3.963,0.165,3.911,3.995,3.995,2.814,3.915,4,4,3.88,3.95,4
203,2.775,3.968,0.158,3.908,3.968,4,2.766,3.862,3.951,4,3.875,3.95,4
203.2,2.739,3.995,0.151,3.905,3.95,3.996,2.719,3.868,3.951,4,3.869,4,4
203.4,2.69,4,0.144,3.886,3.955,3.996,2.675,3.871,3.928,4,3.883,4,4
203.6,2.637,4,0.138,3.891,3.961,3.996,2.629,3.887,3.97,4,3.907,4,4
203.8,2.581,3.98,0.132,3.903,3.98,4,2.586,3.919,3.946,4,3.924,4,4
204,2.534,3.958,0.126,3.836,3.98,3.986,2.542,3.922,3.956,4,3.904,4,4
204.2,2.494,3.956,0.122,3.857,3.99,3.986,2.494,3.949,3.96,4,3.913,4,4
204.4,2.45,3.932,0.117,3.851,3.949,3.986,2.453,3.946,3.983,4,3.82,4,4
204.6,2.405,3.944,0.112,3.878,3.949,4,2.407,3.987,3.983,3.977,3.831,4,4
204.8,2.367,3.964,0.107,3.879,3.931,4,2.364,3.976,3.999,3.977,3.789,3.993,4
205,2.327,3.936,0.103,3.855,3.936,4,2.319,3.977,3.998,3.977,3.866,3.991,4
205.2,2.284,3.902,0.098,3.854,3.91,4,2.278,3.95,3.987,4,3.82,3.991,4
205.4,2.238,3.926,0.094,3.822,3.944,4,2.24,3.94,3.988,4,3.835,4,4
205.6,2.197,3.909,0.09,3.831,3.944,3.983,2.2,3.946,3.958,4,3.764,4,4
205.8,2.16,3.94,0.087,3.907,3.929,3.983,2.161,3.922,3.969,4,3.807,4,4
206,2.122,3.95,0.083,3.874,3.917,3.983,2.122,3.901,3.969,4,3.79,4,4
206.2,2.086,3.967,0.08,3.869,3.952,4,2.085,3.897,4,4,3.86,3.996,4
206.4,2.048,3.981,0.077,3.865,3.962,4,2.047,3.899,3.994,3.993,3.835,3.996,4
206.6,2.012,3.988,0.074,3.894,3.955,4,2.013,3.901,3.976,3.993,3.822,3.983,4
206.8,1.975,3.976,0.071,3.785,3.965,4,1.979,3.825,3.956,4,3.817,3.987,4
207,1.943,3.975,0.068,3.747,3.957,4,1.946,3.816,3.946,4,3.84,3.987,4
