experiment date,,140501,,140501,,140501,,140501,,140501,,140501,,140425,,140425,,140425,,140425,,140425,,140425,,140425,,140425,,140425,,140425,,140425,,140425,,140425,,140425,,140425,,140425,,140425,,140425,,140425,,140425,,140425,,140425,,140425,,140425,,140425,,140425,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
page ref,,chemdraw,,chemdraw,,chemdraw,,chemdraw,,chemdraw,,chemdraw,,74,,74,,74,,74,,74,,74,,74,,74,,74,,74,,74,,74,,74,,74,,74,,74,,74,,74,,74,,74,,74,,74,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ex,,320,,360,,320,,360,,320,,360,,320,,320,,320,,320,,320,,320,,320,,320,,360,,360,,360,,360,,360,,360,,360,,360,,360,,360,,360,,360,,320,,360,,320,,360,,320,,360,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
em,,380,,415,,380,,415,,380,,415,,380,,380,,380,,380,,380,,380,,380,,380,,415,,415,,415,,415,,415,,415,,415,,415,,415,,415,,415,,415,,380,,415,,380,,415,,380,,415,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
file name,,140501 BSA PDMIA,,140501 BSA PDMIA,,140501 BSA PDMIA,,140501 BSA PDMIA,,140501 BSA PDMIA,,140501 BSA PDMIA,,140425 triple PDMIA NMIA insulin BSA,,140425 triple PDMIA NMIA insulin BSA,,140425 triple PDMIA NMIA insulin BSA,,140425 triple PDMIA NMIA insulin BSA,,140425 triple PDMIA NMIA insulin BSA,,140425 triple PDMIA NMIA insulin BSA,,140425 triple PDMIA NMIA insulin BSA,,140425 triple PDMIA NMIA insulin BSA,,140425 triple PDMIA NMIA insulin BSA,,140425 triple PDMIA NMIA insulin BSA,,140425 triple PDMIA NMIA insulin BSA,,140425 triple PDMIA NMIA insulin BSA,,140425 triple PDMIA NMIA insulin BSA,,140425 triple PDMIA NMIA insulin BSA,,140425 triple PDMIA NMIA insulin BSA,,140425 triple PDMIA NMIA insulin BSA,,140425 triple PDMIA NMIA insulin BSA,,140425 triple PDMIA NMIA insulin BSA,,140425 triple PDMIA NMIA insulin BSA,,140425 triple PDMIA NMIA insulin BSA,,140425 triple PDMIA NMIA insulin BSA,,140425 triple PDMIA NMIA insulin BSA,,140425 triple PDMIA NMIA insulin BSA,,140425 triple PDMIA NMIA insulin BSA,,140425 triple PDMIA NMIA insulin BSA,,140425 triple PDMIA NMIA insulin BSA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
variable name,,fkbsap380,,fkbsap415,,fkbufferp380,,fkbufferp415,,fkwaterp380,,fkwaterp415,,fk2bufferpw380,,fk3insulinpw380,,fk3bsapw380,,fk3waterpd380,,fk3bufferpd380,,fk3insulinpd380,,fk3bsapd380,,fk3waternd380,,fk3waterpw415,,fk2bufferpw415,,fk3insulinpw415,,fk3bsapw415,,fk3waterpd415,,fk3bufferpd415,,fk3insulinpd415,,fk3bsapd415,,fk3waternd415,,fk3buffernd415,,fk3insulinnd415,,fk3bsand415,,fk3waterpwlater380,,fk3waterpwlater415,,fk3waterpdlater380,,fk3waterpdlater415,,fk3waterndlater380,,fk3waterndlater415,,fk,,fk,,fk,,fk,,fk,,fk,,fk,,fk,,fk,,fk,,fk,,fk,,fk,,fk,,fk,,fk,,fk,,fk,,fk,,fk,,fk,,fk,,fk,,fk
figure name,,fig:fkbsap380,,fig:fkbsap415,,fig:fkbufferp380,,fig:fkbufferp415,,fig:fkwaterp380,,fig:fkwaterp415,,fig:fk2bufferpw380,,fig:fk3insulinpw380,,fig:fk3bsapw380,,fig:fk3waterpd380,,fig:fk3bufferpd380,,fig:fk3insulinpd380,,fig:fk3bsapd380,,fig:fk3waternd380,,fig:fk3waterpw415,,fig:fk2bufferpw415,,fig:fk3insulinpw415,,fig:fk3bsapw415,,fig:fk3waterpd415,,fig:fk3bufferpd415,,fig:fk3insulinpd415,,fig:fk3bsapd415,,fig:fk3waternd415,,fig:fk3buffernd415,,fig:fk3insulinnd415,,fig:fk3bsand415,,fig:fk3waterpwlater380,,fig:fk3waterpwlater415,,fig:fk3waterpdlater380,,fig:fk3waterpdlater415,,fig:fk3waterndlater380,,fig:fk3waterndlater415,,fig:fk,,fig:fk,,fig:fk,,fig:fk,,fig:fk,,fig:fk,,fig:fk,,fig:fk,,fig:fk,,fig:fk,,fig:fk,,fig:fk,,fig:fk,,fig:fk,,fig:fk,,fig:fk,,fig:fk,,fig:fk,,fig:fk,,fig:fk,,fig:fk,,fig:fk,,fig:fk,,fig:fk
interval time (s),,8,,8,,8,,8,,8,,8,,25,,25,,0,,25,,25,,25,,25,,25,,25,,25,,25,,25,,25,,25,,25,,25,,25,,25,,25,,25,,60,,60,,60,,60,,60,,60,,25,,25,,25,,25,,25,,25,,25,,25,,25,,25,,25,,25,,25,,25,,25,,25,,25,,25,,25,,25,,25,,25,,25,,25
reactant,,\gls{bsa},,\gls{bsa},,\ce{H2O},,\ce{H2O},,\ce{H2O},,\ce{H2O},,\ce{H2O},,insulin,,\gls{bsa},,\ce{H2O},,\ce{H2O},,insulin,,\gls{bsa},,\ce{H2O},,\ce{H2O},,\ce{H2O},,insulin,,\gls{bsa},,\ce{H2O},,\ce{H2O},,insulin,,\gls{bsa},,\ce{H2O},,\ce{H2O},,insulin,,\gls{bsa},,\ce{H2O},,\ce{H2O},,\ce{H2O},,\ce{H2O},,\ce{H2O},,\ce{H2O},,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
reactant conc.,,3.75848E-05,,3.75848E-05,,,,,,,,,,,,1.72147E-05,,1.5046E-06,,,,,,1.72147E-05,,1.5046E-06,,,,,,,,1.72147E-05,,1.5046E-06,,,,,,1.72147E-05,,1.5046E-06,,,,,,1.72147E-05,,1.5046E-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
iad,,\gls{pdmia},,\gls{pdmia},,\gls{pdmia},,\gls{pdmia},,\gls{pdmia},,\gls{pdmia},,\gls{pdmia},,\gls{pdmia},,\gls{pdmia},,\gls{pdmia},,\gls{pdmia},,\gls{pdmia},,\gls{pdmia},,\gls{nmia},,\gls{pdmia},,\gls{pdmia},,\gls{pdmia},,\gls{pdmia},,\gls{pdmia},,\gls{pdmia},,\gls{pdmia},,\gls{pdmia},,\gls{nmia},,\gls{nmia},,\gls{nmia},,\gls{nmia},,\gls{pdmia},,\gls{pdmia},,\gls{pdmia},,\gls{pdmia},,\gls{nmia},,\gls{nmia},,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
iad conc.,,0.000679463,,0.000679463,,0.000679463,,0.000679463,,0.000679463,,0.000679463,,0.00028311,,0.00028311,,0.00028311,,0.00028311,,0.00028311,,0.00028311,,0.00028311,,0.000564471,,0.00028311,,0.00028311,,0.00028311,,0.00028311,,0.00028311,,0.00028311,,0.00028311,,0.00028311,,0.000564471,,0.000564471,,0.000564471,,0.000564471,,0.00028311,,0.00028311,,0.00028311,,0.00028311,,0.000564471,,0.000564471,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
solvent,,5 mM \ce{HCO3-}(aq),,5 mM \ce{HCO3-}(aq),,5 mM \ce{HCO3-}(aq),,5 mM \ce{HCO3-}(aq),,water,,water,,5 mM \ce{HCO3-}(aq),,5 mM \ce{HCO3-}(aq),,5 mM \ce{HCO3-}(aq),,\ce{H2O}/\gls{dmso},,5 mM \ce{HCO3-}(aq)/\gls{dmso},,5 mM \ce{HCO3-}(aq)/\gls{dmso},,5 mM \ce{HCO3-}(aq)/\gls{dmso},,\ce{H2O}/\gls{dmso},,water,,5 mM \ce{HCO3-}(aq),,5 mM \ce{HCO3-}(aq),,5 mM \ce{HCO3-}(aq),,\ce{H2O}/\gls{dmso},,5 mM \ce{HCO3-}(aq)/\gls{dmso},,5 mM \ce{HCO3-}(aq)/\gls{dmso},,5 mM \ce{HCO3-}(aq)/\gls{dmso},,\ce{H2O}/\gls{dmso},,5 mM \ce{HCO3-}(aq)/\gls{dmso},,5 mM \ce{HCO3-}(aq)/\gls{dmso},,5 mM \ce{HCO3-}(aq)/\gls{dmso},,water,,water,,\ce{H2O}/\gls{dmso},,\ce{H2O}/\gls{dmso},,\ce{H2O}/\gls{dmso},,\ce{H2O}/\gls{dmso},,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
k regression value,,0.001359415,,0.000946098,,0.001202705,,0.001381818,,0.00017703,,2.86E-06,,0.001933666,,0.002071023,,0.002045302,,0.00021963,,0.001722292,,0.001730585,,0.001762656,,5.69625E-05,,3.57E-06,,0.002130431,,0.001862958,,0.001932745,,3.05E-06,,0.001973043,,0.001668142,,0.001791222,,3.57E-06,,0.002186875,,0.002179095,,0.002838789,,0.000104047,,1.35506E-05,,0.000125135,,1.16705E-05,,0.000239913,,1.38255E-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
