date,,140206,,140206,,140206,,140206,,140212,,140212,,140220,,140312,,140312,,140312,,140312,,140312,,140312,,140312,,140312,,140312,,140312,,140312,,140312,,140312,,140312,,140312,,140312,,140312,,140312,,140312,,140312,,140312,,140312,,140312,,140312,,140501,,140501,,140501,,140501,,140501,,140501,,140501,,140501,,140312,,140312
description,,PDMIA (hydrolyzed it seems),,PDMIA with .1 uL nbutyl amine,,PDMIA,,PDMIA with .1 uL nbutyl amine,,PDMIA,,PDMIA and BSA,,PDMIA unhydrolyzed,,NMIA 5 mM,,PDMIA 5 mM,,NPIA 5 mM,,_-Cl IA 5mM,,NIPIA 5 mM,,DMIA 5 mM,,NMIA 5 mM,,PDMIA 5 mM,,NPIA 5 mM,,_-Cl IA 5mM,,NIPIA 5 mM,,DMIA 5 mM,,NMIA 5 mM and butylamine,,PDMIA 5 mM and butylamine,,NPIA 5 mM and butylamine,,_-Cl IA 5mM and butylamine,,NIPIA 5 mM and butylamine,,DMIA 5 mM and butylamine,,NMIA 5 mM and butylamine,,PDMIA 5 mM and butylamine,,NPIA 5 mM and butylamine,,_-Cl IA 5mM and butylamine,,NIPIA 5 mM and butylamine,,DMIA 5 mM and butylamine,,PDMIA and BSA,,PDMIA and BSA,,PDMIA,,PDMIA,,PDMIA and BSA,,PDMIA,,PDMIA,,BSA,,NMIA 5 mM,,NMIA 5 mM
solvent,,50 mM bicarb,,50 mM bicarb,,50 mM bicarb,,50 mM bicarb,,50 mM bicarb,,50 mM bicarb,,water,,DMSO,,DMSO,,DMSO,,DMSO,,DMSO,,DMSO,,DMSO,,DMSO,,DMSO,,DMSO,,DMSO,,DMSO,,DMSO,,DMSO,,DMSO,,DMSO,,DMSO,,DMSO,,DMSO,,DMSO,,DMSO,,DMSO,,DMSO,,DMSO,,5 mM bicarb,,5 mM bicarb,,water,,water,,5 mM bicarb,,water,,5 mM buffer,,5 mM buffer,,DMSO,,DMSO
ex. Wavelength,,329,,329,,spectrum,,spectrum,,320,,320,,320,,350,,350,,350,,350,,350,,350,,spectrum,,spectrum,,spectrum,,spectrum,,spectrum,,spectrum,,360,,360,,360,,360,,360,,360,,spectrum,,spectrum,,spectrum,,spectrum,,spectrum,,spectrum,,360,,320,,320,,360,,spectrum,,spectrum,,spectrum,,320,,320,,spectrum
em. Wavelength,,spectrum,,spectrum,,419,,419,,spectrum,,spectrum,,spectrum,,spectrum,,spectrum,,spectrum,,spectrum,,spectrum,,spectrum,,420,,420,,420,,420,,420,,420,,spectrum,,spectrum,,spectrum,,spectrum,,spectrum,,spectrum,,420,,420,,420,,420,,420,,420,,spectrum,,spectrum,,spectrum,,spectrum,,415,,415,,415,,spectrum,,spectrum,,390
max,,415,,415,,327,,328,,385,,415,,380,,390,,415,,415,,390,,420,,420,,335,,355,,355,,330,,365,,360,,420,,415,,415,,420,,420,,420,,360,,365,,360,,355,,365,,360,,420,,415,,385,,420,,340,,320,,330,,370,,380,,330
reading at max,,6961.969,,5734.344,,6689.457,,5717.632,,7521.039,,3141.015,,19172.678,,6134.009,,10239.473,,6216.004,,469.965,,20290.391,,6441.952,,4357.846,,8354.515,,5080.475,,324.129,,21255.941,,6210.197,3.202820211,25780.137,-0.019106159,10043.836,0.46665414,9116.728,9.46677093,4919.016,0.529652139,31037.24,2.401115376,21909.822,,20408.205,,7539.33,,6880.373,,4053.582,,25920.037,,17722.18,0.177338675,9192.711,,10968.442,,24273.215,,7808.043,,12640.428,,17961.389,,5140.44,,550.374,,12471.699,,12197.376
page ref,,63,,63,,63,,63,,64,,64,,69,,70,,70,,70,,70,,70,,70,,70,,70,,70,,70,,70,,70,,70,,70,,70,,70,,70,,70,,70,,70,,70,,70,,70,,70,,chemdraw/excel,,chemdraw/excel,,chemdraw/excel,,chemdraw/excel,,chemdraw/excel,,chemdraw/excel,,chemdraw/excel,,chemdraw/excel,,70,,70
name,fig:FemPDMIA50mMhydro,emPDMIA50mMhydro,,emPDMIA50mMamine,fig:FexPDMIA50mM,exPDMIA50mM,,exPDMIA50mMamine,,emPDMIAunhydro,,xxemPDMIABSA,,emPDMIAH2Ounhydro,fig:FemNPIAunemNMIAun,emNMIAun,fig:FemDMIAunemPDMIAunDMSO,emPDMIAunDMSO,fig:FemNPIAunemNMIAun,emNPIAun,fig:FemaClunemNIPIAun,emaClun,fig:FemaClunemNIPIAun,emNIPIAun,fig:FemDMIAunemPDMIAunDMSO,emDMIAun,fig:FemNPIAunemNMIAun,exNMIAun,fig:FemDMIAunemPDMIAunDMSO,exPDMIAunDMSO,fig:FemNPIAunemNMIAun,exNPIAun,fig:FemaClunemNIPIAun,exaClun,fig:FemaClunemNIPIAun,exNIPIAun,fig:FemDMIAunemPDMIAunDMSO,exDMIAun,fig:FemNPIAamineemNMIAamine,emNMIAamine,fig:FemDMIAamineemPDMIAamineDMSO,emPDMIAamineDMSO,fig:FemNPIAamineemNMIAamine,emNPIAamine,fig:FemaClamineemNIPIAamine,emaClamine,fig:FemaClamineemNIPIAamine,emNIPIAamine,fig:FemDMIAamineemPDMIAamineDMSO,emDMIAamine,fig:FemNPIAamineemNMIAamine,exNMIAamine,fig:FemDMIAamineemPDMIAamineDMSO,exPDMIAamineDMSO,fig:FemNPIAamineemNMIAamine,exNPIAamine,fig:FemaClamineemNIPIAamine,exaClamine,fig:FemaClamineemNIPIAamine,exNIPIAamine,fig:FemDMIAamineemPDMIAamineDMSO,exDMIAamine,,emPDMIABSA360,fig:FemPDMIAwaterandBSA320,emPDMIABSA320,fig:FemPDMIAwaterandBSA320,emPDMIAwater320,,emPDMIAwater360,fig:FexPDMIABSAexPDMIAwater,exPDMIABSA,fig:FexPDMIABSAexPDMIAwater,exPDMIAwater,,exPDMIA5mM,fig:FemBSA,emBSA,fig:FemNMIA320,emNMIA320,fig:FexNMIA320,exNMIA320
,360,1507.727,360,499.146,315,6333.114,315,5177.637,370,6470.529,370,1238.544,370,17088.418,390,6134.009,390,5774.788,390,3135.264,390,469.965,390,7688.001,390,2814.646,300,3949.521,300,765.751,300,528.721,300,186.301,300,3286.266,300,476.186,390,10459.811,390,6501.47,390,5809.629,390,3118.73,390,11304.219,390,9527.683,300,5874.758,300,1394.38,300,3593.505,300,3795.05,300,4667.368,300,8576.489,390,6317.23,370,1880.727,370,20832.187,390,3129.534,300,7232.157,300,14521.773,300,3282.714,370,550.374,375,12172.239,250,4264.841
