experiment date,,140521,,140521,,140521,,140521,,140522,,140522,,140522
page ref,,76,,76,,76,,76,,77,,77,,77
wavelength,,315,,315,,315,,315,,315,,340,,315-340
file name,,140521 kinetics,,140521 kinetics,,140521 kinetics,,140521 kinetics,,140522 buffer kinetics,,140522 buffer kinetics,,140522 buffer kinetics
variable name,,uvkbufferpshort,,uvkaminep,,uvkinsulinplate,,uvkinsulinp,,uvkbufferp315,,uvkbufferp340,,uvkbufferpcomb
figure name,,fig:uvkbufferpshort,,fig:uvkaminep,,fig:uvkinsulinplate,,fig:uvkinsulinp,,fig:uvkbufferp315,,fig:uvkbufferp340,,fig:uvkbufferpcomb
interval time,,0.4,,0.4,,0.4,,0.4,,8,,8,,8
reactant,,buffer,,amine,,insulin,,insulin,,buffer,,buffer,,buffer
iad,,\gls{pdmia},,\gls{pdmia},,\gls{pdmia},,\gls{pdmia},,\gls{pdmia},,\gls{pdmia},,\gls{pdmia}
iad conc.,,0.000319914,,0.000319914,,0.000319914,,0.000319914,,0.00025763,,0.00025763,,0.00025763
solvent,,5 mM \ce{HCO3-}(aq),,5 mM \ce{HCO3-}(aq),,5 mM \ce{HCO3-}(aq),,5 mM \ce{HCO3-}(aq),,5 mM \ce{HCO3-}(aq),,5 mM \ce{HCO3-}(aq),,5 mM \ce{HCO3-}(aq)
k regression value,,0.002353635,,,,0.002449614,,0.003489425,,0.000634543,,0.000569475,,0.000580896
reliability feeling,,decent,,,,decent,,poor,,okay,,"okay, similar to 315",,"okay, similar to 315 and 340"
minimum,,1.05,,0.65,,1.1,,1.1,,0.7,,0.2,,0
half life,,294.500652,,#DIV/0!,,282.9617936,,198.6422579,,1092.356176,,1217.168431,,1193.237984
notes,time(s),buffer adding pdmia,time(s),buffer adding pdmia adding amine,time(s),insulin adding pdmia,time(s),insulin adding pdmia again,Time (s),bicarb adding PDMIA-002 - RawDataWl1,Time (s),bicarb adding pdmia RawDataWl2 ...,Time (s),Manipulated ...
,0,1.1505,0,0.7747,0,1.2099,0,1.2405,0,0.8506,0,0.2452,0,0.6054
,0.4,1.1508,0.4,0.7851,0.4,1.2103,0.4,1.2418,8,0.8496,8,0.2497,8,0.5999
,0.8,1.1505,0.8,0.7742,0.8,1.2091,0.8,1.2412,16,0.8488,16,0.2541,16,0.5947
,1.2,1.1493,1.2,0.7635,1.2,1.2097,1.2,1.2392,24,0.8476,24,0.2581,24,0.5895
,1.6,1.1504,1.6,0.7525,1.6,1.2095,1.6,1.241,32,0.8461,32,0.2624,32,0.5838
,2,1.1506,2,0.7486,2,1.2099,2,1.2397,40,0.8457,40,0.2661,40,0.5796
,2.4,1.1496,2.4,0.7473,2.4,1.2095,2.4,1.2384,48,0.8436,48,0.27,48,0.5736
,2.8,1.1496,2.8,0.7483,2.8,1.2099,2.8,1.2372,56,0.8431,56,0.2734,56,0.5697
,3.2,1.1486,3.2,0.7489,3.2,1.2093,3.2,1.2374,64,0.8417,64,0.2773,64,0.5643
,3.6,1.1502,3.6,0.7477,3.6,1.2092,3.6,1.235,72,0.8412,72,0.281,72,0.5603
,4,1.1495,4,0.7437,4,1.2091,4,1.2342,80,0.8401,80,0.2839,80,0.5562
,4.4,1.1494,4.4,0.7376,4.4,1.2093,4.4,1.2352,88,0.8394,88,0.2874,88,0.5519
,4.8,1.1493,4.8,0.7328,4.8,1.2094,4.8,1.2343,96,0.8383,96,0.2905,96,0.5478
,5.2,1.1492,5.2,0.7285,5.2,1.2087,5.2,1.2341,104,0.8373,104,0.2935,104,0.5438
,5.6,1.1492,5.6,0.7249,5.6,1.2091,5.6,1.2341,112,0.8369,112,0.2965,112,0.5403
,6,1.1492,6,0.7218,6,1.2093,6,1.2333,120,0.8361,120,0.2996,120,0.5364
,6.4,1.1482,6.4,0.7197,6.4,1.2083,6.4,1.2334,128,0.8352,128,0.3024,128,0.5328
,6.8,1.1498,6.8,0.719,6.8,1.2086,6.8,1.2322,136,0.8339,136,0.3051,136,0.5288
,7.2,1.1487,7.2,0.7178,7.2,1.2081,7.2,1.2321,144,0.8332,144,0.3081,144,0.5251
,7.6,1.1488,7.6,0.7176,7.6,1.2089,7.6,1.2307,152,0.8333,152,0.3105,152,0.5228
,8,1.1485,8,0.7175,8,1.2092,8,1.2314,160,0.8327,160,0.3133,160,0.5195
,8.4,1.1479,8.4,0.718,8.4,1.2086,8.4,1.2307,168,0.8317,168,0.3163,168,0.5154
,8.8,1.1489,8.8,0.7179,8.8,1.2081,8.8,1.2308,176,0.8309,176,0.3187,176,0.5122
,9.2,1.1487,9.2,0.7184,9.2,1.2077,9.2,1.2297,184,0.8304,184,0.321,184,0.5093
,9.6,1.148,9.6,0.7185,9.6,1.2081,9.6,1.2304,192,0.8292,192,0.3236,192,0.5057
,10,1.1483,10,0.7191,10,1.2076,10,1.2305,200,0.8287,200,0.3259,200,0.5028
,10.4,1.148,10.4,0.7197,10.4,1.2075,10.4,1.2299,208,0.8285,208,0.3283,208,0.5002
,10.8,1.1478,10.8,0.7199,10.8,1.2079,10.8,1.2294,216,0.8278,216,0.3308,216,0.497
,11.2,1.1486,11.2,0.7203,11.2,1.2073,11.2,1.2297,224,0.8269,224,0.3332,224,0.4937
,11.6,1.1475,11.6,0.7206,11.6,1.2075,11.6,1.2288,232,0.8267,232,0.3353,232,0.4915
,12,1.1478,12,0.7213,12,1.2063,12,1.2278,240,0.8262,240,0.3376,240,0.4887
,12.4,1.1478,12.4,0.7218,12.4,1.2074,12.4,1.228,248,0.825,248,0.3398,248,0.4852
,12.8,1.1484,12.8,0.7226,12.8,1.208,12.8,1.2279,256,0.8244,256,0.342,256,0.4824
,13.2,1.1473,13.2,0.7236,13.2,1.2073,13.2,1.2278,264,0.8245,264,0.3438,264,0.4807
,13.6,1.1479,13.6,0.7244,13.6,1.2069,13.6,1.2268,272,0.824,272,0.3459,272,0.478
,14,1.1479,14,0.7252,14,1.2072,14,1.2273,280,0.8237,280,0.3483,280,0.4754
,14.4,1.1475,14.4,0.726,14.4,1.2067,14.4,1.2261,288,0.8233,288,0.3501,288,0.4731
,14.8,1.147,14.8,0.7267,14.8,1.207,14.8,1.2265,296,0.8226,296,0.3521,296,0.4705
,15.2,1.1467,15.2,0.7274,15.2,1.207,15.2,1.2263,304,0.8216,304,0.354,304,0.4676
,15.6,1.147,15.6,0.7283,15.6,1.2065,15.6,1.2265,312,0.8214,312,0.3563,312,0.4651
,16,1.1478,16,0.7293,16,1.2068,16,1.2257,320,0.8208,320,0.3581,320,0.4627
,16.4,1.147,16.4,0.73,16.4,1.207,16.4,1.2263,328,0.8206,328,0.3599,328,0.4607
,16.8,1.1463,16.8,0.7307,16.8,1.2063,16.8,1.2257,336,0.8199,336,0.3617,336,0.4581
,17.2,1.147,17.2,0.7317,17.2,1.2064,17.2,1.2253,344,0.8191,344,0.3634,344,0.4557
,17.6,1.1465,17.6,0.7321,17.6,1.206,17.6,1.2253,352,0.8185,352,0.3651,352,0.4534
,18,1.1471,18,0.733,18,1.2061,18,1.2251,360,0.8184,360,0.3669,360,0.4516
,18.4,1.1474,18.4,0.7336,18.4,1.2064,18.4,1.2242,368,0.8179,368,0.3687,368,0.4493
,18.8,1.1466,18.8,0.7344,18.8,1.206,18.8,1.2251,376,0.8171,376,0.3708,376,0.4463
,19.2,1.1456,19.2,0.7351,19.2,1.2049,19.2,1.2245,384,0.8177,384,0.3723,384,0.4454
,19.6,1.1458,19.6,0.7357,19.6,1.2063,19.6,1.224,392,0.8165,392,0.3739,392,0.4425
,20,1.146,20,0.7364,20,1.2053,20,1.2237,400,0.8163,400,0.3756,400,0.4407
,20.4,1.1463,20.4,0.7369,20.4,1.2061,20.4,1.2233,408,0.8156,408,0.3776,408,0.4381
,20.8,1.1462,20.8,0.7377,20.8,1.2061,20.8,1.2229,416,0.8156,416,0.3793,416,0.4363
,21.2,1.1457,21.2,0.7386,21.2,1.205,21.2,1.2231,424,0.815,424,0.3806,424,0.4343
,21.6,1.1462,21.6,0.7388,21.6,1.2054,21.6,1.2233,432,0.815,432,0.3823,432,0.4326
,22,1.1463,22,0.7395,22,1.2049,22,1.2229,440,0.814,440,0.3837,440,0.4303
